ccode,year,age,gender,education,status,population
CIV,2015,17,female,tertiary,inactive,2404.0
CIV,2015,17,female,lower secondary,inactive,26888.0
CIV,2015,17,female,less than primary,student,0.0
CIV,2015,17,female,lower secondary,student,27567.0
CIV,2015,17,female,tertiary,student,3048.0
CIV,2015,17,female,primary,student,17248.0
CIV,2015,17,female,upper secondary,student,10966.0
CIV,2015,17,female,lower secondary,unemployed,1739.0
CIV,2015,17,female,less than primary,unemployed,262.0
CIV,2015,17,female,upper secondary,unemployed,1260.0
CIV,2015,17,female,tertiary,unemployed,834.0
CIV,2015,17,female,primary,unemployed,1052.0
CIV,2015,17,male,upper secondary,employed,17021.0
CIV,2015,17,male,tertiary,employed,3295.0
CIV,2015,17,male,lower secondary,employed,35920.0
CIV,2015,17,male,primary,employed,51063.0
CIV,2015,17,male,less than primary,employed,35278.0
CIV,2015,17,male,upper secondary,inactive,7567.0
CIV,2015,17,male,tertiary,inactive,1581.0
CIV,2015,17,male,less than primary,inactive,4540.0
CIV,2015,17,male,primary,inactive,11645.0
CIV,2015,17,male,lower secondary,inactive,11099.0
CIV,2015,17,male,upper secondary,student,23151.0
CIV,2015,17,male,less than primary,student,0.0
CIV,2015,17,male,lower secondary,student,36358.0
CIV,2015,17,male,primary,student,27561.0
CIV,2015,17,male,tertiary,student,6086.0
CIV,2015,17,male,primary,unemployed,468.0
CIV,2015,17,male,lower secondary,unemployed,887.0
CIV,2015,17,male,less than primary,unemployed,338.0
CIV,2015,17,male,upper secondary,unemployed,1181.0
CIV,2015,17,male,tertiary,unemployed,832.0
CIV,2015,18,female,upper secondary,employed,7027.0
CIV,2015,18,female,less than primary,employed,31236.0
CIV,2015,18,female,primary,employed,44924.0
CIV,2015,18,female,tertiary,employed,1702.0
CIV,2015,18,female,lower secondary,employed,22562.0
CIV,2015,18,female,less than primary,inactive,16012.0
CIV,2015,18,female,primary,inactive,24308.0
CIV,2015,18,female,upper secondary,inactive,15758.0
CIV,2015,18,female,lower secondary,inactive,25815.0
CIV,2015,18,female,tertiary,inactive,2309.0
CIV,2015,18,female,less than primary,student,0.0
CIV,2015,18,female,tertiary,student,2926.0
CIV,2015,18,female,lower secondary,student,26466.0
CIV,2015,18,female,primary,student,16560.0
CIV,2015,18,female,upper secondary,student,10528.0
CIV,2015,18,female,lower secondary,unemployed,1670.0
CIV,2015,18,female,upper secondary,unemployed,1210.0
CIV,2015,18,female,primary,unemployed,1010.0
CIV,2015,18,female,tertiary,unemployed,800.0
CIV,2015,18,female,less than primary,unemployed,252.0
CIV,2015,18,male,upper secondary,employed,16310.0
CIV,2015,18,male,tertiary,employed,3157.0
CIV,2015,18,male,lower secondary,employed,34420.0
CIV,2015,18,male,less than primary,employed,33804.0
CIV,2015,18,male,primary,employed,48930.0
CIV,2015,18,male,upper secondary,inactive,7250.0
CIV,2015,18,male,less than primary,inactive,4351.0
CIV,2015,18,male,primary,inactive,11159.0
CIV,2015,18,male,lower secondary,inactive,10635.0
CIV,2015,18,male,tertiary,inactive,1515.0
CIV,2015,18,male,tertiary,student,5832.0
CIV,2015,18,male,lower secondary,student,34839.0
CIV,2015,18,male,primary,student,26410.0
CIV,2015,18,male,less than primary,student,0.0
CIV,2015,18,male,upper secondary,student,22183.0
CIV,2015,18,male,primary,unemployed,449.0
CIV,2015,18,male,lower secondary,unemployed,850.0
CIV,2015,18,male,less than primary,unemployed,324.0
CIV,2015,18,male,upper secondary,unemployed,1132.0
CIV,2015,18,male,tertiary,unemployed,797.0
CIV,2015,19,female,primary,employed,42861.0
CIV,2015,19,female,upper secondary,employed,6705.0
CIV,2015,19,female,less than primary,employed,29802.0
CIV,2015,19,female,tertiary,employed,1623.0
CIV,2015,19,female,lower secondary,employed,21526.0
CIV,2015,19,female,less than primary,inactive,15277.0
CIV,2015,19,female,primary,inactive,23192.0
CIV,2015,19,female,lower secondary,inactive,24629.0
CIV,2015,19,female,tertiary,inactive,2202.0
CIV,2015,19,female,upper secondary,inactive,15034.0
CIV,2015,19,female,upper secondary,student,10045.0
CIV,2015,19,female,less than primary,student,0.0
CIV,2015,19,female,primary,student,15799.0
CIV,2015,19,female,lower secondary,student,25251.0
CIV,2015,19,female,tertiary,student,2792.0
CIV,2015,19,female,less than primary,unemployed,240.0
CIV,2015,19,female,lower secondary,unemployed,1593.0
CIV,2015,19,female,tertiary,unemployed,764.0
CIV,2015,19,female,upper secondary,unemployed,1154.0
CIV,2015,19,female,primary,unemployed,963.0
CIV,2015,19,male,primary,employed,46447.0
CIV,2015,19,male,lower secondary,employed,32674.0
CIV,2015,19,male,upper secondary,employed,15482.0
CIV,2015,19,male,less than primary,employed,32090.0
CIV,2015,19,male,tertiary,employed,2997.0
CIV,2015,19,male,lower secondary,inactive,10095.0
CIV,2015,19,male,primary,inactive,10593.0
CIV,2015,19,male,less than primary,inactive,4130.0
CIV,2015,19,male,upper secondary,inactive,6883.0
CIV,2015,19,male,tertiary,inactive,1439.0
CIV,2015,19,male,tertiary,student,5536.0
CIV,2015,19,male,lower secondary,student,33072.0
CIV,2015,19,male,less than primary,student,0.0
CIV,2015,19,male,upper secondary,student,21058.0
CIV,2015,19,male,primary,student,25070.0
CIV,2015,19,male,upper secondary,unemployed,1075.0
CIV,2015,19,male,less than primary,unemployed,307.0
CIV,2015,19,male,tertiary,unemployed,757.0
CIV,2015,19,male,primary,unemployed,426.0
CIV,2015,19,male,lower secondary,unemployed,807.0
CIV,2015,20,female,primary,employed,40824.0
CIV,2015,20,female,lower secondary,employed,20502.0
CIV,2015,20,female,less than primary,employed,28385.0
CIV,2015,20,female,upper secondary,employed,6386.0
CIV,2015,20,female,tertiary,employed,1546.0
CIV,2015,20,female,tertiary,inactive,2098.0
CIV,2015,20,female,less than primary,inactive,14550.0
CIV,2015,20,female,primary,inactive,22090.0
CIV,2015,20,female,upper secondary,inactive,14319.0
CIV,2015,20,female,lower secondary,inactive,23459.0
CIV,2015,20,female,upper secondary,student,9568.0
CIV,2015,20,female,tertiary,student,2660.0
CIV,2015,20,female,less than primary,student,0.0
CIV,2015,20,female,lower secondary,student,24050.0
CIV,2015,20,female,primary,student,15047.0
CIV,2015,20,female,upper secondary,unemployed,1099.0
CIV,2015,20,female,less than primary,unemployed,229.0
CIV,2015,20,female,tertiary,unemployed,728.0
CIV,2015,20,female,lower secondary,unemployed,1518.0
CIV,2015,20,female,primary,unemployed,918.0
CIV,2015,20,male,less than primary,employed,30396.0
CIV,2015,20,male,primary,employed,43996.0
CIV,2015,20,male,lower secondary,employed,30949.0
CIV,2015,20,male,upper secondary,employed,14665.0
CIV,2015,20,male,tertiary,employed,2838.0
CIV,2015,20,male,upper secondary,inactive,6520.0
CIV,2015,20,male,tertiary,inactive,1363.0
CIV,2015,20,male,lower secondary,inactive,9562.0
CIV,2015,20,male,less than primary,inactive,3912.0
CIV,2015,20,male,primary,inactive,10033.0
CIV,2015,20,male,tertiary,student,5244.0
CIV,2015,20,male,lower secondary,student,31326.0
CIV,2015,20,male,primary,student,23746.0
CIV,2015,20,male,upper secondary,student,19947.0
CIV,2015,20,male,less than primary,student,0.0
CIV,2015,20,male,primary,unemployed,403.0
CIV,2015,20,male,less than primary,unemployed,291.0
CIV,2015,20,male,tertiary,unemployed,717.0
CIV,2015,20,male,lower secondary,unemployed,765.0
CIV,2015,20,male,upper secondary,unemployed,1018.0
CIV,2015,21,female,less than primary,employed,26950.0
CIV,2015,21,female,lower secondary,employed,19467.0
CIV,2015,21,female,upper secondary,employed,6064.0
CIV,2015,21,female,primary,employed,38761.0
CIV,2015,21,female,tertiary,employed,1467.0
CIV,2015,21,female,less than primary,inactive,13815.0
CIV,2015,21,female,lower secondary,inactive,22273.0
CIV,2015,21,female,primary,inactive,20974.0
CIV,2015,21,female,upper secondary,inactive,13596.0
CIV,2015,21,female,tertiary,inactive,1992.0
CIV,2015,21,female,upper secondary,student,9083.0
CIV,2015,21,female,primary,student,14288.0
CIV,2015,21,female,less than primary,student,0.0
CIV,2015,21,female,tertiary,student,2526.0
CIV,2015,21,female,lower secondary,student,22835.0
CIV,2015,21,female,tertiary,unemployed,691.0
CIV,2015,21,female,primary,unemployed,871.0
CIV,2015,21,female,lower secondary,unemployed,1441.0
CIV,2015,21,female,upper secondary,unemployed,1044.0
CIV,2015,21,female,less than primary,unemployed,217.0
CIV,2015,21,male,upper secondary,employed,13836.0
CIV,2015,21,male,less than primary,employed,28676.0
CIV,2015,21,male,tertiary,employed,2678.0
CIV,2015,21,male,lower secondary,employed,29198.0
CIV,2015,21,male,primary,employed,41506.0
CIV,2015,21,male,upper secondary,inactive,6150.0
CIV,2015,21,male,less than primary,inactive,3691.0
CIV,2015,21,male,primary,inactive,9466.0
CIV,2015,21,male,tertiary,inactive,1285.0
CIV,2015,21,male,lower secondary,inactive,9022.0
CIV,2015,21,male,lower secondary,student,29554.0
CIV,2015,21,male,tertiary,student,4947.0
CIV,2015,21,male,less than primary,student,0.0
CIV,2015,21,male,upper secondary,student,18818.0
CIV,2015,21,male,primary,student,22403.0
CIV,2015,21,male,less than primary,unemployed,274.0
CIV,2015,21,male,tertiary,unemployed,676.0
CIV,2015,21,male,upper secondary,unemployed,961.0
CIV,2015,21,male,primary,unemployed,381.0
CIV,2015,21,male,lower secondary,unemployed,721.0
CIV,2015,22,female,lower secondary,employed,18528.0
CIV,2015,22,female,upper secondary,employed,5771.0
CIV,2015,22,female,tertiary,employed,1397.0
CIV,2015,22,female,primary,employed,36891.0
CIV,2015,22,female,less than primary,employed,25651.0
CIV,2015,22,female,tertiary,inactive,1896.0
CIV,2015,22,female,primary,inactive,19962.0
CIV,2015,22,female,upper secondary,inactive,12940.0
CIV,2015,22,female,less than primary,inactive,13148.0
CIV,2015,22,female,lower secondary,inactive,21199.0
CIV,2015,22,female,lower secondary,student,21733.0
CIV,2015,22,female,tertiary,student,2403.0
CIV,2015,22,female,primary,student,13599.0
CIV,2015,22,female,less than primary,student,0.0
CIV,2015,22,female,upper secondary,student,8646.0
CIV,2015,22,female,upper secondary,unemployed,993.0
CIV,2015,22,female,lower secondary,unemployed,1371.0
CIV,2015,22,female,primary,unemployed,829.0
CIV,2015,22,female,less than primary,unemployed,207.0
CIV,2015,22,female,tertiary,unemployed,657.0
CIV,2015,22,male,primary,employed,39223.0
CIV,2015,22,male,less than primary,employed,27098.0
CIV,2015,22,male,upper secondary,employed,13074.0
CIV,2015,22,male,lower secondary,employed,27592.0
CIV,2015,22,male,tertiary,employed,2530.0
CIV,2015,22,male,tertiary,inactive,1215.0
CIV,2015,22,male,primary,inactive,8945.0
CIV,2015,22,male,lower secondary,inactive,8525.0
CIV,2015,22,male,less than primary,inactive,3488.0
CIV,2015,22,male,upper secondary,inactive,5812.0
CIV,2015,22,male,lower secondary,student,27927.0
CIV,2015,22,male,less than primary,student,0.0
CIV,2015,22,male,tertiary,student,4675.0
CIV,2015,22,male,primary,student,21170.0
CIV,2015,22,male,upper secondary,student,17783.0
CIV,2015,22,male,tertiary,unemployed,639.0
CIV,2015,22,male,less than primary,unemployed,259.0
CIV,2015,22,male,primary,unemployed,360.0
CIV,2015,22,male,lower secondary,unemployed,681.0
CIV,2015,22,male,upper secondary,unemployed,908.0
CIV,2015,23,female,upper secondary,employed,5529.0
CIV,2015,23,female,primary,employed,35343.0
CIV,2015,23,female,less than primary,employed,24574.0
CIV,2015,23,female,tertiary,employed,1339.0
CIV,2015,23,female,lower secondary,employed,17749.0
CIV,2015,23,female,primary,inactive,19124.0
CIV,2015,23,female,less than primary,inactive,12597.0
CIV,2015,23,female,upper secondary,inactive,12396.0
CIV,2015,23,female,lower secondary,inactive,20309.0
CIV,2015,23,female,tertiary,inactive,1817.0
CIV,2015,23,female,tertiary,student,2302.0
CIV,2015,23,female,lower secondary,student,20822.0
CIV,2015,23,female,upper secondary,student,8283.0
CIV,2015,23,female,primary,student,13028.0
CIV,2015,23,female,less than primary,student,0.0
CIV,2015,23,female,primary,unemployed,794.0
CIV,2015,23,female,upper secondary,unemployed,951.0
CIV,2015,23,female,lower secondary,unemployed,1314.0
CIV,2015,23,female,tertiary,unemployed,630.0
CIV,2015,23,female,less than primary,unemployed,198.0
CIV,2015,23,male,lower secondary,employed,26245.0
CIV,2015,23,male,primary,employed,37308.0
CIV,2015,23,male,upper secondary,employed,12437.0
CIV,2015,23,male,tertiary,employed,2407.0
CIV,2015,23,male,less than primary,employed,25775.0
CIV,2015,23,male,less than primary,inactive,3318.0
CIV,2015,23,male,lower secondary,inactive,8109.0
CIV,2015,23,male,primary,inactive,8508.0
CIV,2015,23,male,upper secondary,inactive,5529.0
CIV,2015,23,male,tertiary,inactive,1155.0
CIV,2015,23,male,upper secondary,student,16914.0
CIV,2015,23,male,tertiary,student,4447.0
CIV,2015,23,male,less than primary,student,0.0
CIV,2015,23,male,lower secondary,student,26564.0
CIV,2015,23,male,primary,student,20137.0
CIV,2015,23,male,less than primary,unemployed,247.0
CIV,2015,23,male,primary,unemployed,342.0
CIV,2015,23,male,tertiary,unemployed,607.0
CIV,2015,23,male,upper secondary,unemployed,863.0
CIV,2015,23,male,lower secondary,unemployed,648.0
CIV,2015,24,female,upper secondary,employed,5322.0
CIV,2015,24,female,tertiary,employed,1288.0
CIV,2015,24,female,lower secondary,employed,17086.0
CIV,2015,24,female,less than primary,employed,23657.0
CIV,2015,24,female,primary,employed,34022.0
CIV,2015,24,female,upper secondary,inactive,11934.0
CIV,2015,24,female,lower secondary,inactive,19550.0
CIV,2015,24,female,tertiary,inactive,1748.0
CIV,2015,24,female,less than primary,inactive,12126.0
CIV,2015,24,female,primary,inactive,18409.0
CIV,2015,24,female,less than primary,student,0.0
CIV,2015,24,female,primary,student,12541.0
CIV,2015,24,female,lower secondary,student,20044.0
CIV,2015,24,female,upper secondary,student,7973.0
CIV,2015,24,female,tertiary,student,2216.0
CIV,2015,24,female,less than primary,unemployed,191.0
CIV,2015,24,female,lower secondary,unemployed,1265.0
CIV,2015,24,female,primary,unemployed,765.0
CIV,2015,24,female,tertiary,unemployed,606.0
CIV,2015,24,female,upper secondary,unemployed,916.0
CIV,2015,24,male,tertiary,employed,2301.0
CIV,2015,24,male,less than primary,employed,24640.0
CIV,2015,24,male,primary,employed,35664.0
CIV,2015,24,male,lower secondary,employed,25088.0
CIV,2015,24,male,upper secondary,employed,11888.0
CIV,2015,24,male,tertiary,inactive,1105.0
CIV,2015,24,male,lower secondary,inactive,7752.0
CIV,2015,24,male,upper secondary,inactive,5285.0
CIV,2015,24,male,less than primary,inactive,3171.0
CIV,2015,24,male,primary,inactive,8133.0
CIV,2015,24,male,lower secondary,student,25393.0
CIV,2015,24,male,tertiary,student,4250.0
CIV,2015,24,male,less than primary,student,0.0
CIV,2015,24,male,primary,student,19249.0
CIV,2015,24,male,upper secondary,student,16170.0
CIV,2015,24,male,upper secondary,unemployed,825.0
CIV,2015,24,male,tertiary,unemployed,581.0
CIV,2015,24,male,lower secondary,unemployed,620.0
CIV,2015,24,male,less than primary,unemployed,236.0
CIV,2015,24,male,primary,unemployed,327.0
CIV,2015,25,female,tertiary,employed,11492.0
CIV,2015,25,female,lower secondary,employed,24428.0
CIV,2015,25,female,primary,employed,44369.0
CIV,2015,25,female,upper secondary,employed,11172.0
CIV,2015,25,female,less than primary,employed,34294.0
CIV,2015,25,female,upper secondary,inactive,7476.0
CIV,2015,25,female,lower secondary,inactive,12561.0
CIV,2015,25,female,less than primary,inactive,12846.0
CIV,2015,25,female,tertiary,inactive,5787.0
CIV,2015,25,female,primary,inactive,16336.0
CIV,2015,25,female,less than primary,student,0.0
CIV,2015,25,female,lower secondary,student,0.0
CIV,2015,25,female,upper secondary,student,0.0
CIV,2015,25,female,tertiary,student,0.0
CIV,2015,25,female,primary,student,0.0
CIV,2015,25,female,primary,unemployed,976.0
CIV,2015,25,female,lower secondary,unemployed,1007.0
CIV,2015,25,female,tertiary,unemployed,801.0
CIV,2015,25,female,less than primary,unemployed,230.0
CIV,2015,25,female,upper secondary,unemployed,538.0
CIV,2015,25,male,tertiary,employed,17330.0
CIV,2015,25,male,primary,employed,50621.0
CIV,2015,25,male,less than primary,employed,32170.0
CIV,2015,25,male,upper secondary,employed,22418.0
CIV,2015,25,male,lower secondary,employed,34646.0
CIV,2015,25,male,primary,inactive,5185.0
CIV,2015,25,male,tertiary,inactive,2745.0
CIV,2015,25,male,upper secondary,inactive,4153.0
CIV,2015,25,male,less than primary,inactive,2757.0
CIV,2015,25,male,lower secondary,inactive,4470.0
CIV,2015,25,male,upper secondary,student,0.0
CIV,2015,25,male,primary,student,0.0
CIV,2015,25,male,lower secondary,student,0.0
CIV,2015,25,male,less than primary,student,0.0
CIV,2015,25,male,tertiary,student,4124.0
CIV,2015,25,male,upper secondary,unemployed,584.0
CIV,2015,25,male,primary,unemployed,789.0
CIV,2015,25,male,lower secondary,unemployed,676.0
CIV,2015,25,male,tertiary,unemployed,937.0
CIV,2015,25,male,less than primary,unemployed,249.0
CIV,2015,26,female,less than primary,employed,33004.0
CIV,2015,26,female,primary,employed,42700.0
CIV,2015,26,female,tertiary,employed,11060.0
CIV,2015,26,female,lower secondary,employed,23510.0
CIV,2015,26,female,upper secondary,employed,10751.0
CIV,2015,26,female,primary,inactive,15721.0
CIV,2015,26,female,upper secondary,inactive,7195.0
CIV,2015,26,female,less than primary,inactive,12362.0
CIV,2015,26,female,tertiary,inactive,5570.0
CIV,2015,26,female,lower secondary,inactive,12089.0
CIV,2015,26,female,upper secondary,student,0.0
CIV,2015,26,female,less than primary,student,0.0
CIV,2015,26,female,tertiary,student,0.0
CIV,2015,26,female,lower secondary,student,0.0
CIV,2015,26,female,primary,student,0.0
CIV,2015,26,female,less than primary,unemployed,221.0
CIV,2015,26,female,primary,unemployed,939.0
CIV,2015,26,female,tertiary,unemployed,770.0
CIV,2015,26,female,lower secondary,unemployed,969.0
CIV,2015,26,female,upper secondary,unemployed,518.0
CIV,2015,26,male,tertiary,employed,16532.0
CIV,2015,26,male,primary,employed,48288.0
CIV,2015,26,male,less than primary,employed,30687.0
CIV,2015,26,male,upper secondary,employed,21385.0
CIV,2015,26,male,lower secondary,employed,33049.0
CIV,2015,26,male,upper secondary,inactive,3961.0
CIV,2015,26,male,primary,inactive,4946.0
CIV,2015,26,male,less than primary,inactive,2630.0
CIV,2015,26,male,tertiary,inactive,2618.0
CIV,2015,26,male,lower secondary,inactive,4264.0
CIV,2015,26,male,less than primary,student,0.0
CIV,2015,26,male,tertiary,student,3934.0
CIV,2015,26,male,upper secondary,student,0.0
CIV,2015,26,male,lower secondary,student,0.0
CIV,2015,26,male,primary,student,0.0
CIV,2015,26,male,upper secondary,unemployed,557.0
CIV,2015,26,male,lower secondary,unemployed,645.0
CIV,2015,26,male,less than primary,unemployed,238.0
CIV,2015,26,male,primary,unemployed,752.0
CIV,2015,26,male,tertiary,unemployed,893.0
CIV,2015,27,female,upper secondary,employed,10339.0
CIV,2015,27,female,primary,employed,41065.0
CIV,2015,27,female,lower secondary,employed,22609.0
CIV,2015,27,female,less than primary,employed,31740.0
CIV,2015,27,female,tertiary,employed,10636.0
CIV,2015,27,female,lower secondary,inactive,11625.0
CIV,2015,27,female,primary,inactive,15119.0
CIV,2015,27,female,upper secondary,inactive,6920.0
CIV,2015,27,female,tertiary,inactive,5356.0
CIV,2015,27,female,less than primary,inactive,11889.0
CIV,2015,27,female,primary,student,0.0
CIV,2015,27,female,upper secondary,student,0.0
CIV,2015,27,female,lower secondary,student,0.0
CIV,2015,27,female,tertiary,student,0.0
CIV,2015,27,female,less than primary,student,0.0
CIV,2015,27,female,lower secondary,unemployed,932.0
CIV,2015,27,female,primary,unemployed,903.0
CIV,2015,27,female,tertiary,unemployed,741.0
CIV,2015,27,female,less than primary,unemployed,213.0
CIV,2015,27,female,upper secondary,unemployed,498.0
CIV,2015,27,male,tertiary,employed,15805.0
CIV,2015,27,male,lower secondary,employed,31595.0
CIV,2015,27,male,upper secondary,employed,20444.0
CIV,2015,27,male,less than primary,employed,29338.0
CIV,2015,27,male,primary,employed,46164.0
CIV,2015,27,male,tertiary,inactive,2503.0
CIV,2015,27,male,upper secondary,inactive,3787.0
CIV,2015,27,male,primary,inactive,4729.0
CIV,2015,27,male,lower secondary,inactive,4077.0
CIV,2015,27,male,less than primary,inactive,2514.0
CIV,2015,27,male,upper secondary,student,0.0
CIV,2015,27,male,less than primary,student,0.0
CIV,2015,27,male,lower secondary,student,0.0
CIV,2015,27,male,tertiary,student,3761.0
CIV,2015,27,male,primary,student,0.0
CIV,2015,27,male,lower secondary,unemployed,616.0
CIV,2015,27,male,primary,unemployed,719.0
CIV,2015,27,male,less than primary,unemployed,227.0
CIV,2015,27,male,upper secondary,unemployed,533.0
CIV,2015,27,male,tertiary,unemployed,854.0
CIV,2015,28,female,tertiary,employed,10207.0
CIV,2015,28,female,lower secondary,employed,21697.0
CIV,2015,28,female,primary,employed,39408.0
CIV,2015,28,female,less than primary,employed,30459.0
CIV,2015,28,female,upper secondary,employed,9923.0
CIV,2015,28,female,less than primary,inactive,11409.0
CIV,2015,28,female,upper secondary,inactive,6641.0
CIV,2015,28,female,lower secondary,inactive,11157.0
CIV,2015,28,female,tertiary,inactive,5140.0
CIV,2015,28,female,primary,inactive,14509.0
CIV,2015,28,female,upper secondary,student,0.0
CIV,2015,28,female,tertiary,student,0.0
CIV,2015,28,female,primary,student,0.0
CIV,2015,28,female,less than primary,student,0.0
CIV,2015,28,female,lower secondary,student,0.0
CIV,2015,28,female,primary,unemployed,867.0
CIV,2015,28,female,lower secondary,unemployed,894.0
CIV,2015,28,female,less than primary,unemployed,204.0
CIV,2015,28,female,tertiary,unemployed,711.0
CIV,2015,28,female,upper secondary,unemployed,478.0
CIV,2015,28,male,primary,employed,44269.0
CIV,2015,28,male,lower secondary,employed,30299.0
CIV,2015,28,male,tertiary,employed,15156.0
CIV,2015,28,male,less than primary,employed,28134.0
CIV,2015,28,male,upper secondary,employed,19605.0
CIV,2015,28,male,tertiary,inactive,2400.0
CIV,2015,28,male,upper secondary,inactive,3632.0
CIV,2015,28,male,primary,inactive,4535.0
CIV,2015,28,male,lower secondary,inactive,3909.0
CIV,2015,28,male,less than primary,inactive,2411.0
CIV,2015,28,male,primary,student,0.0
CIV,2015,28,male,tertiary,student,3607.0
CIV,2015,28,male,upper secondary,student,0.0
CIV,2015,28,male,lower secondary,student,0.0
CIV,2015,28,male,less than primary,student,0.0
CIV,2015,28,male,upper secondary,unemployed,510.0
CIV,2015,28,male,primary,unemployed,690.0
CIV,2015,28,male,tertiary,unemployed,819.0
CIV,2015,28,male,lower secondary,unemployed,591.0
CIV,2015,28,male,less than primary,unemployed,218.0
CIV,2015,29,female,primary,employed,37795.0
CIV,2015,29,female,upper secondary,employed,9516.0
CIV,2015,29,female,less than primary,employed,29213.0
CIV,2015,29,female,tertiary,employed,9789.0
CIV,2015,29,female,lower secondary,employed,20809.0
CIV,2015,29,female,lower secondary,inactive,10700.0
CIV,2015,29,female,upper secondary,inactive,6369.0
CIV,2015,29,female,less than primary,inactive,10942.0
CIV,2015,29,female,primary,inactive,13916.0
CIV,2015,29,female,tertiary,inactive,4930.0
CIV,2015,29,female,lower secondary,student,0.0
CIV,2015,29,female,tertiary,student,0.0
CIV,2015,29,female,primary,student,0.0
CIV,2015,29,female,upper secondary,student,0.0
CIV,2015,29,female,less than primary,student,0.0
CIV,2015,29,female,tertiary,unemployed,682.0
CIV,2015,29,female,less than primary,unemployed,196.0
